params,mean_test_accuracy,mean_test_recall,mean_test_precision,mean_test_f1
"{'C': 0.4, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8100000000000002,0.7888888888888889,0.8061904761904761,0.793782562466773
"{'C': 0.4, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7911111111111111,0.7287645687645689,0.7560204859976027
"{'C': 0.4, 'max_iter': 100, 'penalty': 'l2', 'solver': 'sag'}",0.8100000000000002,0.7888888888888889,0.8061904761904761,0.793782562466773
"{'C': 0.4, 'max_iter': 500, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.4, 'max_iter': 500, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.4, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",0.6599999999999999,0.808888888888889,0.613030303030303,0.6956363636363637
"{'C': 0.4, 'max_iter': 500, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.4, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8100000000000002,0.7888888888888889,0.8061904761904761,0.793782562466773
"{'C': 0.4, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8100000000000002,0.7888888888888889,0.8061904761904761,0.793782562466773
"{'C': 0.4, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7911111111111111,0.7287645687645689,0.7560204859976027
"{'C': 0.4, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag'}",0.8100000000000002,0.7888888888888889,0.8061904761904761,0.793782562466773
"{'C': 0.4, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.4, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.4, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.6599999999999999,0.808888888888889,0.613030303030303,0.6956363636363637
"{'C': 0.4, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.4, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8100000000000002,0.7888888888888889,0.8061904761904761,0.793782562466773
"{'C': 0.4, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8100000000000002,0.7888888888888889,0.8061904761904761,0.793782562466773
"{'C': 0.4, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7911111111111111,0.7287645687645689,0.7560204859976027
"{'C': 0.4, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag'}",0.8100000000000002,0.7888888888888889,0.8061904761904761,0.793782562466773
"{'C': 0.6000000000000001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.6000000000000001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.6000000000000001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.74,0.7711111111111111,0.7128049728049728,0.7372234935163997
"{'C': 0.6000000000000001, 'max_iter': 100, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.6000000000000001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8200000000000001,0.7888888888888889,0.8261904761904763,0.8032562466772994
"{'C': 0.6000000000000001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8200000000000001,0.7888888888888889,0.8261904761904763,0.8032562466772994
"{'C': 0.6000000000000001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7711111111111112,0.7367948717948718,0.7499582716381747
"{'C': 0.6000000000000001, 'max_iter': 100, 'penalty': 'l2', 'solver': 'sag'}",0.8200000000000001,0.7888888888888889,0.8261904761904763,0.8032562466772994
"{'C': 0.6000000000000001, 'max_iter': 500, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.6000000000000001, 'max_iter': 500, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.6000000000000001, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",0.74,0.7711111111111111,0.7128049728049728,0.7372234935163997
"{'C': 0.6000000000000001, 'max_iter': 500, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.6000000000000001, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8200000000000001,0.7888888888888889,0.8261904761904763,0.8032562466772994
"{'C': 0.6000000000000001, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8200000000000001,0.7888888888888889,0.8261904761904763,0.8032562466772994
"{'C': 0.6000000000000001, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7711111111111112,0.7367948717948718,0.7499582716381747
"{'C': 0.6000000000000001, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag'}",0.8200000000000001,0.7888888888888889,0.8261904761904763,0.8032562466772994
"{'C': 0.6000000000000001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.6000000000000001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.6000000000000001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.74,0.7711111111111111,0.7128049728049728,0.7372234935163997
"{'C': 0.6000000000000001, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.6000000000000001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8200000000000001,0.7888888888888889,0.8261904761904763,0.8032562466772994
